iter	Passed	Remaining
0	8	8694
1	16	8087
2	26	8759
3	31	7870
4	39	7770
5	43	7223
6	53	7557
7	58	7222
8	67	7447
9	73	7253
10	81	7357
11	87	7215
12	93	7132
13	101	7157
14	108	7107
15	118	7263
16	130	7541
17	139	7629
18	146	7586
19	157	7730
20	161	7538
21	165	7375
22	171	7279
23	174	7102
24	179	6983
25	183	6857
26	192	6933
27	198	6907
28	208	6995
29	217	7046
30	223	6981
31	236	7166
32	247	7260
33	253	7212
34	258	7125
35	264	7070
36	271	7053
37	276	7003
38	286	7061
39	294	7065
40	301	7052
41	307	7020
42	314	6995
43	322	7009
44	331	7025
45	337	7003
46	343	6969
47	355	7055
48	368	7142
49	386	7344
50	401	7464
51	407	7421
52	415	7415
53	426	7467
54	439	7547
55	446	7523
56	455	7528
57	462	7513
58	471	7514
59	478	7503
60	486	7486
61	497	7524
62	506	7529
63	532	7781
64	543	7812
65	547	7752
66	551	7680
67	557	7638
68	562	7583
69	579	7696
70	587	7684
71	593	7647
72	599	7614
73	604	7562
74	609	7522
75	617	7505
76	621	7453
77	634	7496
78	641	7481
79	650	7477
80	656	7447
81	664	7439
82	670	7410
83	680	7418
84	685	7382
85	693	7367
86	698	7325
87	711	7372
88	717	7342
89	731	7399
90	740	7397
91	746	7362
92	750	7322
93	757	7299
94	761	7255
95	766	7217
96	772	7187
97	776	7148
98	781	7109
99	785	7071
100	789	7028
101	793	6984
102	799	6958
103	802	6917
104	806	6876
105	810	6833
106	814	6800
107	818	6760
108	823	6729
109	828	6703
110	838	6717
111	842	6679
112	846	6646
113	850	6606
114	857	6596
115	866	6603
116	870	6570
117	875	6547
118	879	6511
119	884	6488
120	892	6484
121	898	6462
122	909	6485
123	913	6456
124	917	6422
125	921	6392
126	925	6364
127	929	6331
128	935	6314
129	939	6290
130	943	6260
131	952	6260
132	956	6233
133	971	6276
134	975	6251
135	984	6251
136	989	6231
137	995	6217
138	999	6193
139	1003	6164
140	1007	6137
141	1012	6120
142	1017	6096
143	1020	6067
144	1025	6045
145	1029	6021
146	1033	5995
147	1036	5969
148	1041	5947
149	1045	5924
150	1049	5899
151	1052	5873
152	1057	5852
153	1061	5832
154	1065	5807
155	1069	5784
156	1074	5767
157	1077	5743
158	1081	5721
159	1085	5698
160	1089	5679
161	1093	5656
162	1097	5634
163	1101	5613
164	1105	5593
165	1109	5573
166	1113	5551
167	1116	5530
168	1121	5512
169	1125	5493
170	1128	5472
171	1134	5461
172	1138	5441
173	1142	5421
174	1146	5404
175	1154	5403
176	1157	5383
177	1161	5365
178	1166	5348
179	1169	5329
180	1173	5309
181	1177	5294
182	1182	5278
183	1186	5261
184	1195	5264
185	1199	5249
186	1203	5230
187	1208	5220
188	1212	5203
189	1217	5188
190	1221	5175
191	1227	5167
192	1231	5151
193	1237	5141
194	1241	5126
195	1246	5112
196	1250	5098
197	1255	5085
198	1261	5078
199	1266	5066
200	1273	5061
201	1277	5046
202	1281	5032
203	1288	5029
204	1294	5019
205	1298	5004
206	1305	5000
207	1309	4984
208	1312	4968
209	1321	4970
210	1327	4963
211	1335	4964
212	1342	4960
213	1346	4947
214	1350	4930
215	1354	4915
216	1358	4900
217	1362	4886
218	1366	4871
219	1369	4856
220	1373	4842
221	1378	4832
222	1383	4820
223	1387	4805
224	1391	4791
225	1396	4783
226	1400	4769
227	1405	4757
228	1414	4761
229	1419	4750
230	1427	4750
231	1432	4740
232	1442	4749
233	1447	4739
234	1451	4725
235	1456	4715
236	1460	4702
237	1464	4689
238	1468	4677
239	1474	4670
240	1479	4659
241	1485	4653
242	1490	4643
243	1494	4631
244	1503	4633
245	1508	4624
246	1513	4613
247	1519	4606
248	1526	4602
249	1531	4593
250	1535	4580
251	1538	4567
252	1546	4567
253	1551	4558
254	1555	4545
255	1561	4537
